,Dist Name,January,February,March,April,May,June,July,August,September,October,November,December,Unnamed: 0,STATE/UT,DISTRICT,avg kharif,avg rabi,summer avg,whole year avg
57,SHIMLA,14.452269247128882,14.102325085324233,20.648835383962663,18.765,20.759999999999998,28.45678035178035,22.94,22.375,18.965000000000003,16.905,12.525,9.52,344,HIMACHAL,SHIMLA,133.3,48.92857142857143,74.5,86.78333333333332
58,SIRMAUR,14.975000000000001,16.03,20.02,28.31,27.545,29.54,28.775,27.619999999999997,25.525,23.525,19.34,12.745,345,HIMACHAL,SIRMAUR,273.72,37.4,58.9,134.85833333333332
59,DHANBAD,21.225,23.415,28.840000000000003,33.55088210347752,35.3,33.22678035178035,30.955,33.005,30.115000000000002,30.905,23.97,21.451538955479453,140,JHARKHAND,DHANBAD,244.36000000000004,26.185714285714283,72.05000000000001,112.93333333333334
60,RANCHI,19.985,24.4,27.900000000000002,32.83,34.4,31.585,27.46,29.424999999999997,28.244999999999997,27.6,24.375,21.43,144,JHARKHAND,RANCHI,247.78000000000003,27.814285714285717,77.75,116.93333333333334
61,KOLAR,22.74,25.975,30.25,31.93,31.560000000000002,27.0,27.169999999999998,26.365000000000002,27.185000000000002,26.32,24.405,23.41394804088586,616,KARNATAKA,KOLAR,106.18,39.142857142857146,43.975,60.925
62,TUMKUR,25.71,27.39,29.487238135955536,31.545,30.845,28.195,27.130000000000003,25.67,25.545,27.979999999999997,25.255,23.4,620,KARNATAKA,TUMKUR,101.62,36.02857142857143,47.425,58.20833333333334
63,MYSORE,26.840000000000003,27.869999999999997,28.405,31.205,29.865,28.905824105621804,24.77,27.826219667943803,24.895,26.525,26.634999999999998,24.235,618,KARNATAKA,MYSORE,99.2,41.48571428571428,68.6,63.21666666666666
64,MANDYA,26.21,27.305,31.275,29.71,30.035,28.18,27.115000000000002,26.99860331632653,27.605,27.634999999999998,26.172847667950364,24.205,617,KARNATAKA,MANDYA,87.64000000000001,38.92857142857143,51.675,55.225
65,HASSAN,24.32,26.675,28.994999999999997,31.62550485847064,27.615000000000002,25.675,24.85,25.91,25.17,25.645,24.595,22.97394804088586,615,KARNATAKA,HASSAN,146.06,41.51428571428572,73.25,80.59166666666667
66,CHITRADURGA,23.268727583262173,28.174999999999997,33.115,31.880000000000003,31.93,29.655,28.560000000000002,26.59,28.229999999999997,26.979999999999997,25.845,25.955000000000002,613,KARNATAKA,CHITRADURGA,77.47999999999999,27.4,36.400000000000006,43.975
